system:index,date,sum_of_lights,.geo
20190901,2019-09-01,4586.5252994364355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,2019-10-01,6560.119401291538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,2019-11-01,8045.138448264084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,2019-12-01,8445.505278791752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,2020-01-01,8442.684244514448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,2020-02-01,7777.62984876843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,2020-03-01,8069.638156962863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,2020-04-01,7526.569724197249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,2020-05-01,8013.402665592408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,2020-06-01,5882.435846230096,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,2020-07-01,4733.723555317813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,2020-08-01,2739.913331331575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,2020-09-01,5531.8728623249945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,2020-10-01,7853.721215332021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,2020-11-01,6984.173736515699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,2020-12-01,7799.881144198718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,2021-01-01,7729.756769073826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,8539.449869826962,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,2021-03-01,7981.164037370682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,2021-04-01,8657.169921066718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,2021-05-01,8015.675458928187,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,2021-06-01,5921.261500605881,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,2021-07-01,6713.962281656029,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,2021-08-01,4692.01480841286,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,2021-09-01,6534.3897635464555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,2021-10-01,8346.792699047628,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,2021-11-01,8173.152107066733,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,2021-12-01,9023.72866367663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,2022-01-01,8214.84276859433,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,9781.930430856635,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,9942.489185617947,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,2022-04-01,11543.006913117333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,2022-05-01,8939.580785244121,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,2022-06-01,7901.815609057744,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220701,2022-07-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220801,2022-08-01,5058.854790832248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220901,2022-09-01,6854.449694570372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221001,2022-10-01,8988.378943548249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221101,2022-11-01,9412.03050574578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221201,2022-12-01,9673.37749069602,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101,2023-01-01,10074.515222541724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230201,2023-02-01,8692.87989456677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230301,2023-03-01,10939.906393381429,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230401,2023-04-01,11591.920420688282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230501,2023-05-01,8753.402143558335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230601,2023-06-01,6665.53667677828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230701,2023-07-01,5884.026663635057,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230801,2023-08-01,5064.24152832756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230901,2023-09-01,7329.683043415171,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231001,2023-10-01,8499.524946020394,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231101,2023-11-01,8853.200809994865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231201,2023-12-01,9529.748302548307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101,2024-01-01,8728.51047949394,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240201,2024-02-01,9282.282186588822,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240301,2024-03-01,9687.14574629863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240401,2024-04-01,10582.530237645724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240501,2024-05-01,9453.175183080459,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240604,2024-06-04,8234.663682510807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240701,2024-07-01,6505.147003201176,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240801,2024-08-01,4590.899563896423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240901,2024-09-01,6843.436773441117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241001,2024-10-01,8085.3351421218285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241201,2024-12-01,9366.671347245283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101,2025-01-01,9321.001765989555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250201,2025-02-01,10334.69833275033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250301,2025-03-01,10982.764549769372,"{""type"":""MultiPoint"",""coordinates"":[]}"
